,loc,country
233,follow wsh,-
234,"new delhi, india",india
235,#reinerpropaganda ,-
236,paris 17e,france
237,quelque part dans le 74,-
238,la vie,france
239,"orange, france",france
240,"saône-et-loire, bourgogne",france
241,🇬🇭/🇫🇷/🇬🇧,-
242,marseille,france
243,somewhere on earth,-
244,she/her,polska
245,"brest, france",france
246,frontières 🇨🇭,schweiz/suisse/svizzera/svizra
247,never give up on your dreams ,-
248,"paris, le crotoy, stremy",-
249,paris - casablanca,france
250,^o^,france
251,var,france
252,somewhere💚💛❤️,中国
253,dingoslaville en normandie,-
254,"waltham, ma. and  st-gab, qc",-
255,guinée,guinée
256,lilou,中国
257,auvergne,france
258,"chanteloup-en-brie, france",france
259,ailleurs,france
260,"caen, france",france
261,auriol,france
262,comfortable devant l'écran,-
263,somewhere. #jlm2022,-
264,bas rhin,france
265,"tarascon-sur-ariège, france",france
266,toulouse,france
267,"savoie, rhône-alpes",france
268,"beloeil, québec",canada
269,"orléans, france",france
270,"chiclana de la frontera, espag",-
271,he/him,ປະເທດລາວ
272,villetaneuse ,france
273,"dolus-d'oléron, france",france
274,"terre, systèmesolaire, univers",-
275,marseille porto-vecchio france,-
276,"morbihan, bretagne",france
277,rimouski    qc   canada,canada
278,denmark,danmark
279,desert de gobi,монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ
280,reims - carteret,france
281,a gauche,россия
282,el harrach,algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
283,françe,france
284,nowhere,united states
285,shambhala,españa
286,ajaccio / piedicorte ,-
287,antananarivo,madagasikara / madagascar
288,greendale to planète vegeta,-
289,"sherbrooke, québec",canada
290,"angers, paris",france
291,"séville, espagne",españa
292,"orne, basse-normandie",france
293,"provence-alpes-côte d'azur, fr",france
294,"bas-rhin, alsace",france
295,93 ; setif ; ⵣ,-
296,"gonesse, france",france
297,out of sight,united states
298,"brebières, nord-pas-de-calais",france
299,مَشَد,ایران
300,75,france
301,"hautes-pyrénées, midi-pyrénées",france
302,caen,france
303,seulrene · she//her,-
304,"var, provence-alpes-côte d'azur",france
305,north blue,deutschland
306,gard,france
307,"maubeuge, france",france
308,paris - marseille,france
309,"plomodiern, france",france
310,earth,united states
311,gironde,france
312,"france, dijon",france
313,naruto's bed,-
314,"six-fours-les-plages, france",france
315,"dunkerque, france",france
316,europe,ōu
317,ici et là,france
318,royaume des chats,-
319,ⵣ,canada
320,"genève, suisse",schweiz/suisse/svizzera/svizra
321,"lorraine, france",france
322,la fatalité,-
323,east blue,united states
324,"roma, lazio",italia
325,50/50 nord/region parisienne,-
326,en france,france
327,i,österreich
328,"bruxelles, belgique",belgië / belgique / belgien
329,france ,france
330,nord ,france
331,"bretagne, france",france
332,west coast 😛,new zealand / aotearoa
333,"sceaux, france ",france
334,rdc,république démocratique du congo
335,guinea,guinée
336,entre le soleil et la lune,-
337,paris lille,france
338,"franche-comté, france",france
339,"christchurch city, new zealand",new zealand / aotearoa
340,vichy,france
341,la pachamama,españa
342,"dordogne, aquitaine",france
343,"namur, belgique",belgië / belgique / belgien
344,puy-de-dôme (63),france
345,🇫🇷 france 🇫🇷,france
346,"liège, belgique",belgië / belgique / belgien
347,hongrie,magyarország
348,"besançon, france",france
349,haut de france,france
350,"seine-saint-denis, france",france
351,côte basque,france
352,barcelona / spain,españa
353,"béthune, france",france
354,"h¥p•¢r¡t€$ w©rld,kil| p®w€r--}",-
355,occitanie,france
356,"indre-et-loire, centre",france
357,paris 12ème,france
358,"ile-de-france, france helas",france
359,plutôt ailleurs ,-
360,clisson,france
361,"garches, france",france
362,"la france n'est plus un état de droit,la république est abolie,la démocratie est en fuite. soumission commission européenne et juges rouges . gopé",-
363,konoha ,日本
364,dammarie les lys ,france
365,etats-unis,république démocratique du congo
366,str 高田馬場,日本
367,🌍,-
368,senonches,france
369,"essonne, ile-de-france",france
370,entre avignon et les saintes,-
371,camp nou,perú
372,"pau, france",france
373,au mordor,australia
374,"là, où je suis",-
375,drummondville,canada
376,"châteaugay, france",france
377,rome,italia
378,uruguay 🇺🇾🇫🇷🇪🇸,uruguay
379,"paris, ile-de-france",france
380,"ottawa, on. canada",canada
381,"new york, ny",united states
382,"bastia, france",france
383,n'djamena,tchad تشاد
384,"pas-de-calais, nord-pas-de-calais",france
385,"grenoble, france",france
386,"savigny, vaud",schweiz/suisse/svizzera/svizra
387,nord - pas-de-calais,france
388,"pontoise, france",france
389,tizi/92,algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
390,bahamas,the bahamas
391,"mulhouse, france",france
392,loading...,united kingdom
393,picardy normandy,united states
394,"ardèche, rhône-alpes",france
395,🏳️‍🌈,-
396,planète solar iii,-
397,"silver lakes, ca",united states
398,"sud-est, con ! ",brasil
399, france,france
400,"saint-jean-de-braye, france",france
401,rouen,france
402,"abbeville, france",france
403,japon,日本
404,région paca ,slovensko
405,"london, paris, luxembourg, europe",-
406,. ,-
407,avenida siempre viva 742,méxico
408,"issy-les-moulineaux, ile-de-france",france
409,"ecouen, france",france
410,cherbourg,france
411,"47.21636,5.962071",france
412,norvège- islande,ísland
413,ivory coast,côte d’ivoire
414,dans le bescherelle,-
415,"ardennes, champagne-ardenne",france
416,ottawa-gatineau,canada
417,macao,中国
418,la cdmx,méxico
419,"caudry , nord",france
420,bloqué dans dust2,-
421,"birmingham, england",united kingdom
422,even,danmark
423,boston - grenoble - nice,-
424,villeurbanne,france
425,ny,united states
426,montbéliard,france
427,hazebrouck,france
428,au nord,france
429,"aube, champagne-ardenne",france
430,"gatineau, québec ",canada
431,"bay area, ca",united states
432,yonne,france
433,montpellier,france
434,paris #cloversforassange 🍀 🤐,-
435,"virgin islands, usa",united states
436,"almería, españa",españa
437,"sabadell, barcelona, catalunya",españa
438,"saint-brieuc, france",france
439,"miramas, france",france
440, le havre france  ,france
441,"centre, france",france
442,ath,united states
443,sept sorts (77),france
444,burgundy,france
445,"partaloa, españa",españa
446,"tarn, midi-pyrénées",france
447,perdu.com,-
448,rooom : shambles,-
449,"tours, france",france
450,"ariège, occitanie, france",france
451,saint barth france,france
452,sud de la france,united states
453,.,-
454,57,france
455,"limoges, france",france
456,"québec, québec",canada
457,"andernos-les-bains, france",france
458,en mouvement,france
459,"nîmes, france",france
460,"aveiro, portugal",portugal
461,"le havre, france",france
462,türkiye,türkiye
463,lille / biarritz ,-
464,#92100,france
465,nevermore.,united kingdom
466,"lévis, québec",canada
467,nicosie - last divided capital,-
468,dans une foret,france
469,gap hautes alpes ,france
470,régime autoritaire d’absurdie,-
471,moarmyengenestayatinyonceblink,-
472,eu estou aqui ,-
473,om/thfc/juve/nyi,-
474,"normandie, france",france
475,s/o nekfeu // sch // pnl,-
476,"sarlat, france",france
477,"dordogne, périgord vert",france
478,#chezmoi close to lille,-
479,"bois-colombes, france",france
480,"99,99 % parodique",-
481,instagram.com/sendurconfess_2,-
482,77,france
483,"manche, basse-normandie",france
484,"occitanie, france",france
485,ile de la reunion,france
486,"haute-savoie, rhône-alpes",france
487,"langford, british columbia",canada
488,maddington,australia
489,"london, uk",united kingdom
490,martigues - france,france
491,alps,italia
492,pays des bisounours,-
493,"grand'landes, france",france
494,bejaia (algeria),algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
495,kerland ,france
496,ile-de-france - sèvres -france,france
497,gatineau,canada
498,sur un marché quelque part ,-
499,paris 75008,france
500,paris ,france
501,mon etoile🕊❤️,france
502,aquitaine,france
503,"westmont, il",united states
504,midi-pyrennees ,-
505,dinan (bzh) & de cœur en 🇭🇺,-
506,antibes,france
507,ain,france
508,rma,india
509,roussillon,france
510,santa maria di lota corse,france
511,"roscoff, france",france
512,le grau du roi,france
513,grand line,россия
514,"vuiteboeuf, suisse",schweiz/suisse/svizzera/svizra
515,dans ce putain de monde de m**,-
516,floating rock in space,-
517,"eure-et-loir, centre",france
518,"saint-avold, france",france
519,genève,schweiz/suisse/svizzera/svizra
520,localisé,-
521,"braine-l'alleud, belgique",belgië / belgique / belgien
522,"la roche-sur-yon, france",france
523,bourgogne franche comté,france
524,"carquefou, france",france
525,#coronavirusmadeinpasteur,-
526,ile-de-france,france
527,"seine-maritime, haute-normandi",-
528,"nanterre, france",france
529,"maîche, france",france
530,trou-perdu en web du milieu,-
531,"bagnères-de-bigorre, france",france
532,cahors ,france
533,"neuchâtel, suisse",schweiz/suisse/svizzera/svizra
534,planète terre,france
535,london and paris,united kingdom
536,derrière toi,-
537,"nice, france ",france
538,bruxelles / cotonou-sur-mer,-
539,"ville-marie, montréal",canada
540,entre paris 7e et caracas,-
541,"courbevoie, france",france
542,"noailles, france",france
543,bruxelles capitale 🇪🇺,belgië / belgique / belgien
544,"hawaiian beaches, hi",united states
545,royaume du maroc,maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
546,jiminshiiii,-
547,france / sarfat,-
548,http://notrepays.cforum.info,-
549,"burlington,vermont",united states
550,heidelberg (d) - paris (f),-
551,dans le futur,france
552,drusenheim ,france
553,dans ton coeur,-
554,dom,italia
555,36 quai des orfevres ,france
556,nouvelle dictature 7 mai 2017,-
557,"belgrade, république serbe",-
558,je suis où bordel ?,-
559,montreal,canada
560,dans le lit a cosmotron,-
561,"abidjan, côte d'ivoire",côte d’ivoire
562,covid landscape ,-
563,"elbeuf, france",france
564,zarifian d,france
565,la destrousse-lama corsica,-
566,𝐌𝐛𝐨𝐮𝐫❤️-𝐘𝐨𝐟𝐟🦈...🇸🇳,-
567,marseille.quartiers est. ,-
568,"drôme, rhône-alpes",france
569,carcassonne,france
570,paris - lyon - bordeaux,-
571,jsuis dans la tess igo,-
572,"vincennes, france",france
573,🇪🇺🇫🇷,-
574,république de côte d'ivoire,côte d’ivoire
575,rhône-alpes france,france
576,je suis ici,france
577,"val-de-marne, ile-de-france",france
578,evian les bains-neuvecelle,france
579,"91r.faubourg st-honoré, paris",france
580,vendée,france
581,україна,україна
582,métropole de lyon,france
583,"villemoisson -sur-orge, france",france
584,népal,नेपाल
585,anywhere out of the world,-
586,en mission,france
587,paris/normandie,france
588,la 13eme colonie,-
589,bayonne,france
590,plus d'un mètre de vous,-
591,paris.,france
592,"la baule-escoublac, france",france
593,senegal,sénégal
594,"nîmes, france🇪🇺🇫🇷",france
595,n'importe où ! à l'ouest ,-
596,"camiers, france",france
597,bx,ประเทศไทย
598,st nom,france
599,"saint-louis, alsace",france
600,"paris xx, france | [she / her]",-
601,"avignon, france / montpellier france",france
602,♡,-
603,voie lactée,france
604,95,france
605,"schiltigheim, france",france
606,posée là,france
607,st pourçain sur sioule,france
608,"versailles, france",france
609,nowhere and every where,-
610,thorel (eure) ,france
611,fontain,france
612,lacroix-falgarde,france
613,drancy,france
614,delémont (suisse),schweiz/suisse/svizzera/svizra
615,"ottawa, ontario",canada
616,ici ,viti
617,"paray-le-monial, france",france
618,13 ,france
619,"bar-le-duc, lorraine",france
620,"venice beach, ca",united states
621,"valençay, centre val de loire",france
622,fourmies,france
623,06110 le cannet,france
624,le monde,france
625,république française,france
626,over the rainbow ,canada
627,"baillargues, france",france
628,république des mangues,-
629,terre,ኢትዮጵያ
630,paris 20,france
631,"fort lauderdale, fl",united states
632,france/israël,france
633,"la courneuve, france",france
634,médite au sommet du ğerğer,-
635,"antibes, ndakaaru, tund buuram",-
636,100-8 zoo,česko
637,"chartres, france",france
638,côte d’azur,brasil
639,rennes - france,france
640,confédération helvétique,-
641,"alsace, france",france
642,"abou dabi, emirats arabes unis",الإمارات العربية المتحدة
643,"ajaccio, france",france
644,france. planet earth.,-
645,#québécois et fier de l'être !,-
646,tiohtià:ke montreal,canada
647,indépendantiste français,-
648,"france, europe",france
649,"auderghem, belgique",belgië / belgique / belgien
650,巴黎第五维度/ yurikolelong诗人艺术/作家,-
651,"berlin, germany 🇩🇪",deutschland
652,stalingrad ,россия
653,macronistan,-
654,@morismyriam@mamot.fr,-
655,"agen, france",france
656,l’haÿ,تونس
657,"saint malo, france ",france
658,région centre,burkina faso
659,near golf national ryder 2018 ,-
660,paris. chateau-gontier,france
661,france région  ile de france,france
662,argenteuil,france
663,"raismes, france",france
664,aix en provence,france
665,"belfort, france",france
666,dakar /cotonou,-
667,antichambre,france
668,44,france
669,rif-bx-dxb,-
670,o amar sonar bangla,-
671,lens / lille📍,france
672,rd congo ,république démocratique du congo
673,"paris, lyon",france
674,sartrouville,france
675,"nyons, france",france
676,ici,viti
677,"limousin, france",france
678,ile de france,france
679,alicante,españa
680,"isère, rhône-alpes",france
681,"la plaine st-denis , france ",france
682,🇹🇳,-
683,👀 suivie par 🤗🤭@jeanmessiha,-
684,la lune,france
685,paris & europe,france
686,paris et au parc des fois ,-
687,partout . des que possible.,-
688,ille-et-vilaine,france
689,nantes,france
690,"laugh tale, j’attend luffy ",-
691,guadeloupe,france
692,luxembourg,lëtzebuerg
693,colmar - paris ,france
694,quelque part,france
695,bayonne ,france
696,"talence, france",france
697,lorraine,france
698,"kraainem, belgique",belgië / belgique / belgien
699,"phuket, thailand",ประเทศไทย
700,06,türkiye
701,parc des princes,france
702,essaouira,maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
703,dachau,deutschland
704,shin sekai ,-
705,en algún lugar,paraguay
706,sud france,france
707,chez une copine,-
708,"fortin nihiul,mendoza",-
709,entre le clavier et la chaise.,-
710,cameroon,cameroun
711,"paris, quai st exupéry 🛑",france
712,in the middle of nowhere,united states
713,"valenciennes, france",france
714,kino der toten,deutschland
715,mahr ,italia
716,οδύσσεια,italia
717,31,france
718,"servins, france",france
719,lille,france
720,ici et maintenant,france
721,wakanda,tanzania
722,à l'ouest ,france
723,"sangatte, france",france
724,𝐢𝐠: p.pgnr,-
725,provence frenchriviera,-
726,danton.... et robespierre,-
727,dans le ❤️ de thib ,-
728,dans les nuages,france
729,hexagonale ,france
730,lmgs,-
731,"stras, çorum",-
732,𝓠𝓛𝓕 🫀 | 𝖊𝖓𝖓𝖆 | ⁶₆⁷  ,norge
733,"eure, haute-normandie",france
734,ontario/canada,canada
735,france - lyon,france
736,"48°51'24.12""ν,2°21'2.88""ε",-
737,𝐁𝐚𝐫𝐭𝐞𝐫𝐭𝐨𝐰𝐧 ☢¹⁷,france
738,minervois/capicorsu,-
739,"rhône, rhône-alpes",france
740,the notorious house ,-
741,"bruges, france",france
742,breizh ma bro - rennes,france
743,hauts de seine,france
744,hauts-de-france,france
745,"le perreux-sur-marne, france",france
746,magic land,sénégal
747,"dijon, france",france
748,royaume des fées,togo
749,"sceaux, france",france
750,"munich, germany, old europe",-
751,hogwarts - bungalow 20,-
752,225🎈,日本
753,"moscou, russie",россия
754,laurentides,canada
755,grolande,-
756,"fontenay-sous-bois, fr, ue",-
757,guadeloupe - montpellier,-
758,la commune ,france
759,"jeumont, france",france
760,poudlard🧙🏽‍♀️,-
761,paris  et couesque en france,-
762,"bangui, car ",ködörösêse tî bêafrîka - république centrafricaine
763,quimper,france
764,"51.515347,-0.134733",united kingdom
765,"neuilly-sur-seine, france",france
766,espagne,españa
767,"oxfordshire, england",united kingdom
768,"tokyo, japan",日本
769,"rhône-alpes, france",france
770,france - berry,france
771,on ze claoude,-
772,près de mon gourou ,-
773,gotham city ,united states
774,"tavira, portugal",portugal
775,"arras, france",france
776,du côté de toulouse ,france
777,"choisy-le-roi, france",france
778,with my cats,-
779,"lokmikaelig, 56, france",france
780,"tilff, belgique",belgië / belgique / belgien
781,"biarritz, france",france
782,"buzet-sur-tarn, france",france
783,i sây,france
784,faintlark.blogspot.com,-
785,🇷🇪/🇲🇬,-
786,france 🇲🇫,france
787,"hauts-de-france, france",france
788,elle/iel/il,-
789,"nancy, lorraine - grand est",france
790,"sevran, france",france
791,suresnes,france
792,koufoué,-
793,absurdistan,-
794,new-york,united states
795,"porto alegre, brésil",brasil
796,camouflé...,canada
797,stockholm,sverige
798,"sarthe, pays de la loire",france
799,creil zoo,-
800,covidland,-
801,"north bethesda, md",united states
802,normandie,france
803,oise ,france
804,brest ,france
805,portsall ,france
806,"corbeil-essonnes, france",france
807,dtc,united states
808,"saint-lô, france",france
809,la netosphère,-
810,orléans,france
811,dirty docks,-
812,emhoe,-
813,"la madeleine, france",france
814,"nouvelle-aquitaine, france",france
815,"fercé-sur-sarthe, france",france
816,𝓗𝓮𝓵𝓵,-
817,"paris 12, france",france
818,voie lactee,france
819,le paradis surterre ⬆️,-
820,+33,france
821,"dubaï, emirats arabes unis",الإمارات العربية المتحدة
822,mougins,france
823,"marignier, france",france
824,malaga,españa
825,argyll and northamptonshire,-
826,78,france
827,join the resistance!!!,-
828,"paris, most of the time",-
829,"trèbes, france",france
830,au dessus des nuages ,-
831,"🐢 la terre  ""au petit paris"" ",-
832,toulouse france 🇫🇷,france
833,apt,france
834,courchevel,france
835,université paris descartes,france
836,paca,france
837,paris-marseille,france
838,"plouhinec, france",france
839,royaume-uni,united kingdom
840,north france douai|paris,-
841,entre de gaulle et audiard,-
842,sol 3,대한민국
843,"avranches, normandie, france",france
844,bourgogne,france
845,"ottawa, on, canada",canada
846,horizon ,canada
847,"221b bakerstreet, london",-
848,clermont tonnerre,france
849,"bouches-du-rhône, provence-alp",france
850,"ariège, midi-pyrénées",france
851,"metz, lorraine, france",france
852,actor/director,-
853,essonne,france
854,liège,belgië / belgique / belgien
855,"barcelona, españa",españa
856,planète mars ,france
857,from guadeloupe to toulouse ✈️,-
858,palmarito-apure-venezuela,venezuela
859,brussels,belgië / belgique / belgien
860,ile de france france,france
861,https://www.edilivre.com/media/books/9782332709646.jpg,-
862,blog 6.0,suomi / finland
863,"washington dc, usa",united states
864,"périgueux, france",france
865,lfmn 433956n 071256e,-
866,all around the world,-
867,"andenne, belgique",belgië / belgique / belgien
868,à la poursuite de kaitō kid 🏃,-
869,jabalpur ,india
870,paris 16,france
871,she/her • gotbts,-
872,dijon,france
873,booby's boyfriend 💞,-
874,louvain-la-neuve. belgique,belgië / belgique / belgien
875,les internets,costa rica
876,dans un arbre 𓄿,france
877,"marseille, provence-alpes-côte",france
878,"poitou-charentes, france",france
879,babylone,العراق
880,"83,1028788, -32,4062200",-
881,mayotte,france
882,melun,france
883,sur tes genoux ,france
884,kinto'un ,-
885,"cherbourg-octeville, france",france
886,"valence, france",france
887,pologne,polska
888,créteil (94),france
889,dans ta dar,-
890,premier empire,-
891,"maracaibo, venezuela",venezuela
892,千葉 市原市,-
893,"grand est, france",france
894,reims,france
895,ajaccio,france
896,breda,nederland
897,"creil, france",france
898,"meuse, lorraine",france
899,"saint-denis, france",france
900,nismes en belgique,belgië / belgique / belgien
901,montreal canada,canada
902,"elancourt, france",france
903,"maisons-laffitte, france",france
904,porto vecchio,france
905,"basse-normandie, france",france
906,"jérusalem, israël",ישראל
907,le mans,france
908,"paris 12e, france",france
909,"côtes-d'armor, bretagne",france
910,brexiled from eu 🇪🇺,-
911,quebec,canada
912,"mars, france",france
913,montagne du sud,canada
914,any pronouns ✌,-
915,"saint-pierre, la réunion",france
916,47°9' s 126°43' w,-
917,français/corse/breton/européen sur la terre,-
918,"barcelone, espagne",españa
919,qlf,suomi / finland
920,"senlis, france",france
921,lr / 🥨,liberia
922,rwanda,rwanda
923,93 / casablanca,chile
924,asnières ,france
925,quebec ,canada
926,je traque le playmobil,-
927,enfer/terre,france
928,le monde chico,colombia
929,marseille 013 centre du monde,-
930,"bourgogne, france",france
931,joinville / port de bouc,-
932,74,france
933,@hydreprever@mathstodon.xyz,-
934,trace mon ip tu verras bien,-
935,"poitiers, france",france
936,wattpad/insta : empty_corpse,-
937,biscarrosse,france
938,frexit,-
939,grand-est-vosges,france
940,régio est france,brasil
941,subsaharan africa,-
942,"courfaivre, suisse",schweiz/suisse/svizzera/svizra
943,sur le fil ,france
944,69 la trik,-
945,corsica,france
946,ici et ailleurs,france
947,condom france,france
948,4000 la courneuve,france
949,france st sauveur 70,france
950,ardèche ,france
951,"les mées, france",france
952,"fan de snk , food wars et jojo",-
953,region parisienne,ελλάς
954,free 🇵🇸,france
955,bambola&matelot,-
956,nouvelle-zélande,new zealand / aotearoa
957,orion,france
958,"champagne-ardenne, france",france
959,"iel/they, neutral/fem accords.",-
960,paris et arles,-
961,montréal et paris,-
962,grenoble/ nice#france,france
963,district de shiganshina ,-
964,un nouvel endroit chaque matin,-
965,"villeneuve-sur-lot, france",france
966,"65, bd de sébastopol ",france
967,seine et marne (france),france
968,groland,sverige
969,besançon,france
970,🇫🇷 ,-
971,atheistan,-
972,la terre,france
973,paris 09,brasil
974,"paris, france 🇫🇷 🇪🇺",france
975,nantes et pays de la loire,france
976,"urtaca, corsica",france
977,pas très loin,-
978,"saint-etienne, france",france
979,« fraus omnia corrumpit» rtbf,-
980,le havre / paris,france
981,"hessen, deutschland",deutschland
982,paris area,france
983,orléans ,france
984,#suddefrance,-
985,"puy-de-dôme, ardèche - france",-
986,10 783,norge
987,somewhere in the 🇬🇧 crowd,-
988,a quebec within canada,-
989,ici / the great white north,-
990,"loiret, centre",france
991,troyes,france
992,"hauts-de-seine, ile-de-france",france
993,coutances - agon-coutainville,france
994,amiraux-simplon-poissonniers,-
995,94》34》81》31》92》81》31》34 ,-
996,"uzer, france",france
997,marseille bébé ,france
998,dauphiné  en  rhône- alpes.,france
999,"saint-germain-en-laye, france",france
1000,village schtroumpf,-
1001,"mèèèh sur mèèèh, france ",-
1002,martinique la rochelle ,france
1003,rd congo,république démocratique du congo
1004,"bercy, paris, france",france
1005,13127,deutschland
